,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-03-29,376.5200,382.1800,374.7400,381.4200,379.2194,7694707,0.0000,1.0000
2019-03-28,376.6000,376.6600,372.3300,374.4400,372.2797,4921337,0.0000,1.0000
2019-03-27,371.8900,376.6600,365.5500,374.2100,372.0510,9599957,0.0000,1.0000
2019-03-26,375.5800,375.6000,367.6000,370.3800,368.2431,6479729,0.0000,1.0000
2019-03-25,365.0000,371.2100,362.8900,370.4600,368.3226,7939602,0.0000,1.0000
2019-03-22,368.7900,369.8600,361.5250,362.1700,360.0805,10143922,0.0000,1.0000
2019-03-21,374.0400,377.0000,372.2300,372.7000,370.5497,6950985,0.0000,1.0000
2019-03-20,374.7000,380.8000,373.6800,376.1600,373.9898,8737593,0.0000,1.0000
2019-03-19,371.1400,378.7700,371.0100,373.4300,371.2755,9856108,0.0000,1.0000
2019-03-18,370.0000,373.0700,367.2000,372.2800,370.1321,13119208,0.0000,1.0000
2019-03-15,370.8800,385.7100,366.4500,378.9900,376.8034,26697712,0.0000,1.0000
2019-03-14,374.9900,380.3900,372.1000,373.3000,371.1463,13514057,0.0000,1.0000
2019-03-13,378.4300,381.7700,363.3300,377.1400,374.9641,32662252,0.0000,1.0000
2019-03-12,384.7050,390.0000,368.0000,375.4100,373.2441,36922592,0.0000,1.0000
2019-03-11,371.2700,402.6700,365.5500,400.0100,397.7022,34742186,0.0000,1.0000
2019-03-08,416.7700,423.4262,415.5000,422.5400,420.1022,3794945,0.0000,1.0000
2019-03-07,423.3600,427.7000,416.4400,422.5600,420.1221,4893598,0.0000,1.0000
2019-03-06,429.7000,432.0000,422.0800,424.4600,422.0111,4159385,0.0000,1.0000
2019-03-05,431.0400,433.8500,428.6435,430.1200,427.6384,2844273,0.0000,1.0000
2019-03-04,443.2200,444.5000,426.6300,432.6900,430.1936,5971042,0.0000,1.0000
2019-03-01,446.0100,446.0100,440.1900,440.6200,438.0779,5124178,0.0000,1.0000
2019-02-28,438.7000,441.4200,437.0800,439.9600,437.4217,5063147,0.0000,1.0000
2019-02-27,427.1700,436.3300,427.1500,435.4400,432.9277,4603847,0.0000,1.0000
2019-02-26,426.0000,429.0000,424.2500,426.7700,424.3078,2503684,0.0000,1.0000
2019-02-25,427.4900,429.9200,426.5200,426.8700,424.4072,3276050,0.0000,1.0000
2019-02-22,419.7000,424.4700,419.1400,424.0500,421.6035,3132298,0.0000,1.0000
2019-02-21,421.5800,422.4088,415.6766,417.5800,415.1708,2880474,0.0000,1.0000
2019-02-20,417.1400,421.8400,417.1100,421.5500,419.1179,3990102,0.0000,1.0000
2019-02-19,415.5000,417.9400,414.5400,416.2600,413.8584,3051459,0.0000,1.0000
2019-02-15,412.4800,418.0500,411.4300,417.9700,415.5585,4017338,0.0000,1.0000
2019-02-14,408.9300,412.2200,407.8000,409.8200,407.4556,2724260,0.0000,1.0000
2019-02-13,412.5200,412.7200,407.6700,410.5800,408.2112,3078692,0.0000,1.0000
2019-02-12,407.0000,411.2100,405.3950,410.7200,408.3504,3263321,0.0000,1.0000
2019-02-11,408.1000,409.8300,402.6900,403.9500,401.6194,3046932,0.0000,1.0000
2019-02-08,400.0000,404.9600,397.8000,404.9100,402.5739,4570946,0.0000,1.0000
2019-02-07,407.9300,410.3500,402.2900,405.1700,402.8324,5211412,2.0550,1.0000
2019-02-06,411.5100,413.8800,405.6600,411.1100,406.6755,5356025,0.0000,1.0000
2019-02-05,400.7500,410.7500,399.5500,410.1800,405.7555,7230380,0.0000,1.0000
2019-02-04,388.9700,397.0700,388.1200,397.0000,392.7177,4256562,0.0000,1.0000
2019-02-01,386.1100,392.8000,384.7263,387.4300,383.2509,5625749,0.0000,1.0000
2019-01-31,387.1600,388.9850,382.0800,385.6200,381.4604,6878455,0.0000,1.0000
2019-01-30,387.4000,391.9690,380.5000,387.7200,383.5378,12705305,0.0000,1.0000
2019-01-29,363.0700,367.7800,362.4100,364.9100,360.9738,3202652,0.0000,1.0000
2019-01-28,360.6500,363.1650,357.5000,362.9700,359.0547,3128884,0.0000,1.0000
2019-01-25,362.4900,366.9400,360.3300,364.2000,360.2715,3190425,0.0000,1.0000
2019-01-24,358.9100,363.1800,356.9000,358.2700,354.4054,2801392,0.0000,1.0000
2019-01-23,361.9100,362.1995,353.6700,358.6100,354.7418,2924874,0.0000,1.0000
